DATETIMESTEP,day,N51141G,N51151A,N51151B,N51151D,N51161W,N51161X,N51161Y,N51161Z,N51171L,N51171M,N51171N,N51171R,N51171S,N51171U,N51171V,N51231N,N51231O,N51231P,N51232K,N51232L,N51241B,N51241D,N51241E,N51241F,N51242G,N51242H,N51242J,N51261A,N51261B,N51261H,N51261X,N51261Y,N51261Z,N51271H,N51271I,N51271J,N51311A,N51311M,N51311Z,N51321P,N51321R,N51321S,N51321T,N51321U,N51321X,N51331A,N51331B,N51331K,N51331L,N51331Y,N51331Z,N51341A,N51341V,N51341W,N51341X,N51342A,N51343U,N51351B,N51351J,N51351M,N51351N,N51351S,N51351U,N51352P,N51352Q,N51361O,N51381C,N51381D,N51381F,N51381G,N51381M,N51381Q,N51381R,N51391C,N51391E,N51391F,N51391I,N51391X,N52151A,N52151B,N52151F,N52151Y,N52152E,N52161J,N52161L,N52161Q,N52171A,N52171K,N52171M,N52171O,N52172N,N52191C,N52191E,N52191F,N52191L,N52211A,N52211B,N52211D,N53141A,N53141B,N53141C,N53141D,N53151A,N53151B,N53151Z,N53211E,N53211G,N53211H,N53211I,N53222J,N53222K,N53222L,N53231D,N53231F,N53231G,N53241V,N53241W,N53241X,N53251K,N53251L,N53261F,N53261U,N53261V,N53261W,N53261X,N53261Y,N53271I,N53271R,N53272A,N53272C,N53272D,N53272E,N53281G,N53282H,N53291A,N53291B,N53291C,N53291Y,N53291Z,N53311D,N53311L,N53312B,N53312C,N53312S,N53312T,N53312U,N53313E,N53381H,N53382G,N53391J,N53391K,N53391M,N53391N,N53391Q,N53411A,N53411K,N53411L,N53411M,N53411O,N53411P,N53421R,N53421S,N53421U,N53481E,N53481F,N53481G
2017-11-13 09:25:00,2017-11-13,28.0,38.0,27.0,32.0,22.0,28.0,28.0,41.0,0.0,22.0,49.0,0.0,46.0,0.0,32.0,25.0,35.0,17.0,28.0,27.0,32.0,30.0,30.0,17.0,22.0,32.0,25.0,0.0,25.0,0.0,41.0,41.0,0.0,30.0,0.0,25.0,32.0,35.0,53.0,35.0,80.0,20.0,24.0,0.0,0.0,38.0,33.0,32.0,17.0,0.0,0.0,35.0,38.0,33.0,24.0,32.0,27.0,32.0,24.0,20.0,28.0,30.0,0.0,32.0,25.0,27.0,30.0,24.0,6.0,8.0,30.0,12.0,9.0,33.0,0.0,27.0,37.0,0.0,80.0,80.0,28.0,43.0,43.0,19.0,19.0,0.0,0.0,28.0,11.0,0.0,24.0,14.0,25.0,33.0,12.0,11.0,22.0,30.0,0.0,0.0,0.0,0.0,28.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,4.0,80.0,25.0,1.0,25.0,40.0,24.0,28.0,0.0,45.0,41.0,37.0,27.0,35.0,25.0,19.0,38.0,24.0,32.0,0.0,22.0,0.0,30.0,28.0,0.0,30.0,35.0,0.0,27.0,32.0,27.0,22.0,0.0,33.0,37.0,33.0,30.0,37.0,37.0,22.0,0.0,0.0,0.0,0.0,38.0,0.0,27.0,0.0,43.0,0.0,0.0,27.0
2017-11-13 09:30:00,2017-11-13,28.0,38.0,27.0,32.0,22.0,28.0,28.0,41.0,0.0,22.0,49.0,0.0,46.0,0.0,32.0,25.0,35.0,17.0,28.0,27.0,32.0,30.0,30.0,17.0,22.0,32.0,25.0,0.0,27.0,0.0,28.0,28.0,0.0,28.0,0.0,30.0,32.0,35.0,53.0,35.0,80.0,20.0,24.0,0.0,0.0,38.0,33.0,32.0,17.0,0.0,0.0,35.0,38.0,33.0,24.0,32.0,27.0,32.0,24.0,20.0,28.0,30.0,0.0,32.0,25.0,27.0,30.0,24.0,6.0,8.0,30.0,12.0,9.0,33.0,0.0,27.0,37.0,0.0,80.0,80.0,28.0,43.0,43.0,80.0,80.0,0.0,0.0,22.0,6.0,0.0,33.0,14.0,25.0,33.0,12.0,11.0,22.0,30.0,0.0,0.0,0.0,0.0,24.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,6.0,0.0,28.0,3.0,28.0,41.0,20.0,28.0,0.0,37.0,19.0,46.0,27.0,30.0,24.0,16.0,37.0,37.0,32.0,0.0,30.0,0.0,27.0,25.0,0.0,27.0,37.0,0.0,16.0,28.0,16.0,19.0,0.0,24.0,35.0,33.0,40.0,40.0,40.0,30.0,0.0,0.0,0.0,0.0,38.0,0.0,35.0,0.0,40.0,0.0,80.0,37.0
2017-11-13 09:35:00,2017-11-13,28.0,38.0,27.0,32.0,22.0,28.0,28.0,41.0,0.0,22.0,49.0,0.0,46.0,0.0,32.0,25.0,35.0,17.0,28.0,27.0,32.0,30.0,30.0,17.0,22.0,32.0,25.0,0.0,24.0,0.0,32.0,32.0,0.0,30.0,0.0,27.0,32.0,35.0,53.0,35.0,80.0,20.0,24.0,0.0,0.0,38.0,33.0,32.0,17.0,0.0,0.0,35.0,38.0,33.0,24.0,32.0,27.0,32.0,24.0,20.0,28.0,30.0,0.0,32.0,25.0,27.0,30.0,24.0,6.0,8.0,30.0,12.0,9.0,33.0,0.0,27.0,37.0,0.0,80.0,80.0,28.0,43.0,43.0,27.0,80.0,0.0,0.0,80.0,6.0,0.0,27.0,14.0,25.0,33.0,12.0,11.0,22.0,30.0,0.0,0.0,0.0,0.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,9.0,0.0,25.0,6.0,27.0,46.0,20.0,40.0,0.0,37.0,37.0,54.0,27.0,27.0,19.0,22.0,38.0,46.0,33.0,0.0,30.0,0.0,27.0,24.0,0.0,28.0,41.0,0.0,14.0,33.0,14.0,20.0,0.0,30.0,33.0,30.0,27.0,37.0,37.0,20.0,0.0,0.0,0.0,0.0,35.0,0.0,35.0,0.0,40.0,0.0,14.0,25.0
2017-11-13 09:40:00,2017-11-13,28.0,38.0,27.0,32.0,22.0,28.0,28.0,41.0,0.0,22.0,49.0,0.0,46.0,0.0,32.0,25.0,35.0,17.0,28.0,27.0,32.0,30.0,30.0,17.0,22.0,32.0,25.0,0.0,25.0,0.0,40.0,40.0,0.0,30.0,0.0,16.0,32.0,35.0,53.0,35.0,80.0,20.0,24.0,0.0,0.0,38.0,33.0,32.0,17.0,0.0,0.0,35.0,38.0,33.0,24.0,32.0,27.0,32.0,24.0,20.0,28.0,30.0,0.0,32.0,25.0,27.0,30.0,24.0,6.0,8.0,30.0,12.0,9.0,33.0,0.0,27.0,37.0,0.0,80.0,80.0,28.0,43.0,43.0,20.0,19.0,0.0,0.0,1.0,1.0,0.0,30.0,14.0,25.0,33.0,12.0,11.0,22.0,30.0,0.0,0.0,0.0,0.0,27.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,80.0,4.0,0.0,27.0,4.0,32.0,45.0,22.0,33.0,0.0,43.0,41.0,56.0,27.0,27.0,16.0,19.0,35.0,30.0,32.0,0.0,35.0,0.0,28.0,28.0,0.0,28.0,30.0,0.0,22.0,35.0,22.0,22.0,0.0,20.0,35.0,32.0,80.0,35.0,35.0,19.0,0.0,0.0,0.0,0.0,41.0,0.0,33.0,0.0,40.0,0.0,27.0,33.0
2017-11-13 09:45:00,2017-11-13,28.0,38.0,27.0,32.0,22.0,28.0,28.0,41.0,0.0,22.0,49.0,0.0,46.0,0.0,32.0,25.0,35.0,17.0,28.0,27.0,32.0,30.0,30.0,17.0,22.0,32.0,25.0,0.0,30.0,0.0,32.0,32.0,0.0,27.0,0.0,25.0,32.0,35.0,53.0,35.0,80.0,20.0,24.0,0.0,0.0,38.0,33.0,32.0,17.0,0.0,0.0,35.0,38.0,33.0,24.0,32.0,27.0,32.0,24.0,20.0,28.0,30.0,0.0,32.0,25.0,27.0,30.0,24.0,6.0,8.0,30.0,12.0,9.0,33.0,0.0,27.0,37.0,0.0,80.0,80.0,28.0,43.0,43.0,27.0,80.0,0.0,1.0,16.0,4.0,0.0,27.0,14.0,25.0,33.0,12.0,11.0,22.0,30.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,11.0,6.0,0.0,25.0,4.0,28.0,41.0,27.0,28.0,80.0,40.0,37.0,49.0,27.0,25.0,16.0,12.0,35.0,28.0,32.0,0.0,27.0,0.0,28.0,28.0,0.0,30.0,40.0,0.0,32.0,35.0,32.0,16.0,0.0,22.0,35.0,30.0,80.0,37.0,37.0,22.0,0.0,0.0,0.0,0.0,33.0,0.0,37.0,0.0,40.0,0.0,80.0,38.0
2017-11-13 09:50:00,2017-11-13,28.0,38.0,27.0,32.0,22.0,28.0,28.0,41.0,0.0,22.0,49.0,0.0,46.0,0.0,32.0,25.0,35.0,17.0,28.0,27.0,32.0,30.0,30.0,17.0,22.0,32.0,25.0,0.0,30.0,0.0,17.0,17.0,0.0,27.0,0.0,28.0,32.0,35.0,53.0,35.0,80.0,20.0,24.0,0.0,0.0,38.0,33.0,32.0,17.0,0.0,0.0,35.0,38.0,33.0,24.0,32.0,27.0,32.0,24.0,20.0,28.0,30.0,0.0,32.0,25.0,27.0,30.0,24.0,6.0,8.0,30.0,12.0,9.0,33.0,0.0,27.0,37.0,0.0,80.0,80.0,28.0,43.0,43.0,22.0,80.0,0.0,20.0,3.0,9.0,0.0,17.0,14.0,25.0,33.0,12.0,11.0,22.0,30.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,80.0,3.0,0.0,28.0,11.0,27.0,41.0,27.0,38.0,25.0,43.0,37.0,46.0,25.0,28.0,14.0,17.0,33.0,27.0,30.0,0.0,30.0,0.0,30.0,27.0,0.0,28.0,32.0,0.0,22.0,30.0,22.0,20.0,0.0,25.0,37.0,30.0,80.0,38.0,38.0,20.0,0.0,0.0,0.0,0.0,45.0,0.0,37.0,0.0,40.0,0.0,80.0,40.0
2017-11-13 09:55:00,2017-11-13,28.0,38.0,27.0,32.0,22.0,28.0,28.0,41.0,0.0,22.0,49.0,0.0,46.0,0.0,32.0,25.0,35.0,17.0,28.0,27.0,32.0,30.0,30.0,17.0,22.0,32.0,25.0,0.0,28.0,0.0,25.0,25.0,0.0,27.0,0.0,27.0,32.0,35.0,53.0,35.0,80.0,20.0,24.0,0.0,0.0,38.0,33.0,32.0,17.0,0.0,0.0,35.0,38.0,33.0,24.0,32.0,27.0,32.0,24.0,20.0,28.0,30.0,0.0,32.0,25.0,27.0,30.0,24.0,6.0,8.0,30.0,12.0,9.0,33.0,0.0,27.0,37.0,0.0,80.0,80.0,28.0,43.0,43.0,22.0,24.0,0.0,27.0,9.0,6.0,0.0,25.0,14.0,25.0,33.0,12.0,11.0,22.0,30.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,3.0,0.0,27.0,3.0,27.0,54.0,17.0,37.0,80.0,41.0,40.0,56.0,28.0,28.0,22.0,16.0,41.0,37.0,32.0,0.0,24.0,0.0,27.0,30.0,0.0,30.0,17.0,0.0,27.0,33.0,27.0,22.0,0.0,28.0,40.0,37.0,28.0,40.0,40.0,80.0,0.0,0.0,0.0,0.0,41.0,0.0,37.0,0.0,43.0,0.0,24.0,33.0
2017-11-13 10:00:00,2017-11-13,28.0,38.0,27.0,32.0,22.0,28.0,28.0,41.0,0.0,22.0,49.0,0.0,46.0,0.0,32.0,25.0,35.0,17.0,28.0,27.0,32.0,30.0,30.0,17.0,22.0,32.0,25.0,0.0,28.0,0.0,25.0,25.0,0.0,27.0,0.0,27.0,32.0,35.0,53.0,35.0,80.0,20.0,24.0,0.0,0.0,38.0,33.0,32.0,17.0,0.0,0.0,35.0,38.0,33.0,24.0,32.0,27.0,32.0,24.0,20.0,28.0,30.0,0.0,32.0,25.0,27.0,30.0,24.0,6.0,8.0,30.0,12.0,9.0,33.0,0.0,27.0,37.0,0.0,80.0,80.0,28.0,43.0,43.0,22.0,24.0,0.0,27.0,9.0,6.0,0.0,25.0,14.0,25.0,33.0,12.0,11.0,22.0,30.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,3.0,0.0,27.0,3.0,27.0,54.0,17.0,37.0,80.0,41.0,40.0,56.0,28.0,28.0,22.0,16.0,41.0,37.0,32.0,0.0,24.0,0.0,27.0,30.0,0.0,30.0,17.0,0.0,27.0,33.0,27.0,22.0,0.0,28.0,40.0,37.0,28.0,40.0,40.0,80.0,0.0,0.0,0.0,0.0,41.0,0.0,37.0,0.0,43.0,0.0,24.0,33.0
2017-11-13 10:05:00,2017-11-13,28.0,38.0,27.0,32.0,22.0,28.0,28.0,41.0,0.0,22.0,49.0,0.0,46.0,0.0,32.0,25.0,35.0,17.0,28.0,27.0,32.0,30.0,30.0,17.0,22.0,32.0,25.0,0.0,28.0,0.0,25.0,25.0,0.0,27.0,0.0,27.0,32.0,35.0,53.0,35.0,80.0,20.0,24.0,0.0,0.0,38.0,33.0,32.0,17.0,0.0,0.0,35.0,38.0,33.0,24.0,32.0,27.0,32.0,24.0,20.0,28.0,30.0,0.0,32.0,25.0,27.0,30.0,24.0,6.0,8.0,30.0,12.0,9.0,33.0,0.0,27.0,37.0,0.0,80.0,80.0,28.0,43.0,43.0,22.0,24.0,0.0,27.0,9.0,6.0,0.0,25.0,14.0,25.0,33.0,12.0,11.0,22.0,30.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,3.0,0.0,27.0,3.0,27.0,54.0,17.0,37.0,80.0,41.0,40.0,56.0,28.0,28.0,22.0,16.0,41.0,37.0,32.0,0.0,24.0,0.0,27.0,30.0,0.0,30.0,17.0,0.0,27.0,33.0,27.0,22.0,0.0,28.0,40.0,37.0,28.0,40.0,40.0,80.0,0.0,0.0,0.0,0.0,41.0,0.0,37.0,0.0,43.0,0.0,24.0,33.0
2017-11-13 10:10:00,2017-11-13,28.0,38.0,27.0,32.0,22.0,28.0,28.0,41.0,0.0,22.0,49.0,0.0,46.0,0.0,32.0,25.0,35.0,17.0,28.0,27.0,32.0,30.0,30.0,17.0,22.0,32.0,25.0,0.0,28.0,0.0,25.0,25.0,0.0,27.0,0.0,27.0,32.0,35.0,53.0,35.0,80.0,20.0,24.0,0.0,0.0,38.0,33.0,32.0,17.0,0.0,0.0,35.0,38.0,33.0,24.0,32.0,27.0,32.0,24.0,20.0,28.0,30.0,0.0,32.0,25.0,27.0,30.0,24.0,6.0,8.0,30.0,12.0,9.0,33.0,0.0,27.0,37.0,0.0,80.0,80.0,28.0,43.0,43.0,22.0,24.0,0.0,27.0,9.0,6.0,0.0,25.0,14.0,25.0,33.0,12.0,11.0,22.0,30.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,3.0,0.0,27.0,3.0,27.0,54.0,17.0,37.0,80.0,41.0,40.0,56.0,28.0,28.0,22.0,16.0,41.0,37.0,32.0,0.0,24.0,0.0,27.0,30.0,0.0,30.0,17.0,0.0,27.0,33.0,27.0,22.0,0.0,28.0,40.0,37.0,28.0,40.0,40.0,80.0,0.0,0.0,0.0,0.0,41.0,0.0,37.0,0.0,43.0,0.0,24.0,33.0
2017-11-13 10:15:00,2017-11-13,28.0,38.0,27.0,32.0,22.0,28.0,28.0,41.0,0.0,22.0,49.0,0.0,46.0,0.0,32.0,25.0,35.0,17.0,28.0,27.0,32.0,30.0,30.0,17.0,22.0,32.0,25.0,0.0,28.0,0.0,25.0,25.0,0.0,27.0,0.0,27.0,32.0,35.0,53.0,35.0,80.0,20.0,24.0,0.0,0.0,38.0,33.0,32.0,17.0,0.0,0.0,35.0,38.0,33.0,24.0,32.0,27.0,32.0,24.0,20.0,28.0,30.0,0.0,32.0,25.0,27.0,30.0,24.0,6.0,8.0,30.0,12.0,9.0,33.0,0.0,27.0,37.0,0.0,80.0,80.0,28.0,43.0,43.0,22.0,24.0,0.0,27.0,9.0,6.0,0.0,25.0,14.0,25.0,33.0,12.0,11.0,22.0,30.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,3.0,0.0,27.0,3.0,27.0,54.0,17.0,37.0,80.0,41.0,40.0,56.0,28.0,28.0,22.0,16.0,41.0,37.0,32.0,0.0,24.0,0.0,27.0,30.0,0.0,30.0,17.0,0.0,27.0,33.0,27.0,22.0,0.0,28.0,40.0,37.0,28.0,40.0,40.0,80.0,0.0,0.0,0.0,0.0,41.0,0.0,37.0,0.0,43.0,0.0,24.0,33.0
2017-11-13 10:20:00,2017-11-13,28.0,38.0,27.0,32.0,22.0,28.0,28.0,41.0,0.0,22.0,49.0,0.0,46.0,0.0,32.0,25.0,35.0,17.0,28.0,27.0,32.0,30.0,30.0,17.0,22.0,32.0,25.0,0.0,24.0,0.0,41.0,41.0,0.0,25.0,0.0,19.0,32.0,35.0,53.0,35.0,80.0,20.0,24.0,0.0,0.0,38.0,33.0,32.0,17.0,0.0,0.0,35.0,38.0,33.0,24.0,32.0,27.0,32.0,24.0,20.0,28.0,30.0,0.0,32.0,25.0,27.0,30.0,24.0,6.0,8.0,30.0,12.0,9.0,33.0,0.0,27.0,37.0,0.0,80.0,80.0,28.0,43.0,43.0,56.0,20.0,0.0,14.0,11.0,9.0,0.0,28.0,14.0,25.0,33.0,12.0,11.0,22.0,30.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,9.0,9.0,0.0,25.0,3.0,28.0,40.0,14.0,37.0,80.0,46.0,41.0,40.0,19.0,28.0,11.0,25.0,35.0,25.0,30.0,0.0,24.0,0.0,25.0,25.0,0.0,25.0,33.0,0.0,12.0,30.0,12.0,24.0,0.0,30.0,37.0,28.0,27.0,40.0,40.0,20.0,0.0,0.0,0.0,0.0,41.0,0.0,28.0,0.0,40.0,0.0,80.0,43.0
2017-11-13 10:25:00,2017-11-13,28.0,38.0,27.0,32.0,22.0,28.0,28.0,41.0,0.0,22.0,49.0,0.0,46.0,0.0,32.0,25.0,35.0,17.0,28.0,27.0,32.0,30.0,30.0,17.0,22.0,32.0,25.0,0.0,32.0,0.0,28.0,28.0,0.0,27.0,0.0,19.0,32.0,35.0,53.0,35.0,80.0,20.0,24.0,0.0,0.0,38.0,33.0,32.0,17.0,0.0,0.0,35.0,38.0,33.0,24.0,32.0,27.0,32.0,24.0,20.0,28.0,30.0,0.0,32.0,25.0,27.0,30.0,24.0,6.0,8.0,30.0,12.0,9.0,33.0,0.0,27.0,37.0,0.0,80.0,80.0,28.0,43.0,43.0,33.0,22.0,0.0,19.0,14.0,6.0,0.0,25.0,14.0,25.0,33.0,12.0,11.0,22.0,30.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,11.0,9.0,0.0,27.0,4.0,30.0,37.0,16.0,14.0,35.0,48.0,41.0,61.0,27.0,27.0,19.0,20.0,37.0,27.0,33.0,0.0,22.0,0.0,27.0,20.0,0.0,0.0,20.0,0.0,25.0,32.0,25.0,25.0,0.0,25.0,38.0,35.0,30.0,41.0,41.0,20.0,0.0,0.0,0.0,0.0,37.0,0.0,37.0,0.0,40.0,0.0,80.0,33.0
2017-11-13 10:30:00,2017-11-13,28.0,38.0,27.0,32.0,22.0,28.0,28.0,41.0,0.0,22.0,49.0,0.0,46.0,0.0,32.0,25.0,35.0,17.0,28.0,27.0,32.0,30.0,30.0,17.0,22.0,32.0,25.0,0.0,28.0,0.0,38.0,38.0,0.0,30.0,0.0,28.0,32.0,35.0,53.0,35.0,80.0,20.0,24.0,0.0,0.0,38.0,33.0,32.0,17.0,0.0,0.0,35.0,38.0,33.0,24.0,32.0,27.0,32.0,24.0,20.0,28.0,30.0,0.0,32.0,25.0,27.0,30.0,24.0,6.0,8.0,30.0,12.0,9.0,33.0,0.0,27.0,37.0,0.0,80.0,80.0,28.0,43.0,43.0,20.0,22.0,0.0,12.0,20.0,6.0,80.0,22.0,14.0,25.0,33.0,12.0,11.0,22.0,30.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,80.0,8.0,80.0,24.0,4.0,27.0,46.0,24.0,32.0,41.0,40.0,41.0,53.0,28.0,28.0,30.0,19.0,37.0,27.0,30.0,0.0,27.0,0.0,30.0,25.0,0.0,30.0,35.0,0.0,30.0,33.0,30.0,25.0,0.0,28.0,37.0,28.0,38.0,40.0,40.0,25.0,0.0,0.0,0.0,0.0,38.0,0.0,35.0,0.0,41.0,0.0,80.0,35.0
2017-11-13 10:35:00,2017-11-13,28.0,38.0,27.0,32.0,22.0,28.0,28.0,41.0,0.0,22.0,49.0,0.0,46.0,0.0,32.0,25.0,35.0,17.0,28.0,27.0,32.0,30.0,30.0,17.0,22.0,32.0,25.0,0.0,35.0,0.0,40.0,40.0,0.0,30.0,0.0,22.0,32.0,35.0,53.0,35.0,80.0,20.0,24.0,0.0,0.0,38.0,33.0,32.0,17.0,0.0,0.0,35.0,38.0,33.0,24.0,32.0,27.0,32.0,24.0,20.0,28.0,30.0,0.0,32.0,25.0,27.0,30.0,24.0,6.0,8.0,30.0,12.0,9.0,33.0,0.0,27.0,37.0,0.0,80.0,80.0,28.0,43.0,43.0,22.0,11.0,0.0,12.0,17.0,4.0,17.0,22.0,14.0,25.0,33.0,12.0,11.0,22.0,30.0,0.0,0.0,0.0,0.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,19.0,8.0,0.0,24.0,4.0,28.0,49.0,22.0,30.0,41.0,37.0,41.0,56.0,25.0,25.0,28.0,17.0,37.0,28.0,33.0,0.0,32.0,0.0,28.0,32.0,0.0,30.0,80.0,0.0,28.0,32.0,28.0,25.0,0.0,32.0,37.0,33.0,80.0,38.0,38.0,24.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,24.0,38.0
2017-11-13 10:40:00,2017-11-13,28.0,38.0,27.0,32.0,22.0,28.0,28.0,41.0,0.0,22.0,49.0,0.0,46.0,0.0,32.0,25.0,35.0,17.0,28.0,27.0,32.0,30.0,30.0,17.0,22.0,32.0,25.0,0.0,30.0,0.0,41.0,41.0,0.0,30.0,0.0,25.0,32.0,35.0,53.0,35.0,80.0,20.0,24.0,0.0,0.0,38.0,33.0,32.0,17.0,0.0,0.0,35.0,38.0,33.0,24.0,32.0,27.0,32.0,24.0,20.0,28.0,30.0,0.0,32.0,25.0,27.0,30.0,24.0,6.0,8.0,30.0,12.0,9.0,33.0,0.0,27.0,37.0,0.0,80.0,80.0,28.0,43.0,43.0,20.0,16.0,0.0,8.0,14.0,6.0,12.0,28.0,14.0,25.0,33.0,12.0,11.0,22.0,30.0,0.0,0.0,0.0,0.0,30.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,27.0,11.0,0.0,30.0,9.0,27.0,33.0,25.0,37.0,16.0,43.0,43.0,49.0,25.0,30.0,19.0,20.0,38.0,33.0,33.0,0.0,28.0,0.0,28.0,80.0,0.0,27.0,80.0,0.0,30.0,33.0,30.0,28.0,0.0,35.0,35.0,30.0,30.0,37.0,37.0,17.0,0.0,0.0,0.0,0.0,45.0,0.0,30.0,0.0,41.0,0.0,19.0,45.0
2017-11-13 10:45:00,2017-11-13,28.0,38.0,27.0,32.0,22.0,28.0,28.0,41.0,0.0,22.0,49.0,0.0,46.0,0.0,32.0,25.0,35.0,17.0,28.0,27.0,32.0,30.0,30.0,17.0,22.0,32.0,25.0,0.0,32.0,0.0,33.0,33.0,0.0,25.0,0.0,24.0,32.0,35.0,53.0,35.0,80.0,20.0,24.0,0.0,0.0,38.0,33.0,32.0,17.0,0.0,0.0,35.0,38.0,33.0,24.0,32.0,27.0,32.0,24.0,20.0,28.0,30.0,0.0,32.0,25.0,27.0,30.0,24.0,6.0,8.0,30.0,12.0,9.0,33.0,0.0,27.0,37.0,0.0,80.0,80.0,28.0,43.0,43.0,30.0,17.0,0.0,1.0,11.0,12.0,11.0,27.0,14.0,25.0,33.0,12.0,11.0,22.0,30.0,0.0,0.0,0.0,0.0,25.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,24.0,8.0,0.0,24.0,8.0,27.0,37.0,24.0,38.0,30.0,40.0,45.0,62.0,27.0,25.0,24.0,24.0,30.0,28.0,32.0,0.0,24.0,0.0,30.0,20.0,0.0,32.0,80.0,0.0,35.0,35.0,35.0,28.0,0.0,37.0,37.0,35.0,32.0,37.0,37.0,19.0,0.0,0.0,0.0,0.0,40.0,0.0,37.0,0.0,38.0,0.0,80.0,40.0
2017-11-13 10:50:00,2017-11-13,28.0,38.0,27.0,32.0,22.0,28.0,28.0,41.0,0.0,22.0,49.0,0.0,46.0,0.0,32.0,25.0,35.0,17.0,28.0,27.0,32.0,30.0,30.0,17.0,22.0,32.0,25.0,0.0,33.0,0.0,37.0,37.0,0.0,27.0,0.0,20.0,32.0,35.0,53.0,35.0,80.0,20.0,24.0,0.0,0.0,38.0,33.0,32.0,17.0,0.0,0.0,35.0,38.0,33.0,24.0,32.0,27.0,32.0,24.0,20.0,28.0,30.0,0.0,32.0,25.0,27.0,30.0,24.0,6.0,8.0,30.0,12.0,9.0,33.0,0.0,27.0,37.0,0.0,80.0,80.0,28.0,43.0,43.0,32.0,19.0,0.0,1.0,14.0,4.0,27.0,25.0,14.0,25.0,33.0,12.0,11.0,22.0,30.0,0.0,0.0,0.0,0.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,8.0,80.0,24.0,3.0,27.0,40.0,17.0,37.0,41.0,45.0,40.0,53.0,27.0,24.0,19.0,25.0,40.0,28.0,33.0,0.0,30.0,0.0,27.0,19.0,0.0,28.0,20.0,0.0,37.0,32.0,37.0,30.0,0.0,27.0,38.0,28.0,33.0,40.0,40.0,22.0,0.0,0.0,0.0,0.0,38.0,0.0,33.0,0.0,41.0,0.0,27.0,35.0
2017-11-13 10:55:00,2017-11-13,28.0,38.0,27.0,32.0,22.0,28.0,28.0,41.0,0.0,22.0,49.0,0.0,46.0,0.0,32.0,25.0,35.0,17.0,28.0,27.0,32.0,30.0,30.0,17.0,22.0,32.0,25.0,0.0,31.8811881188119,0.0,39.1327913279133,39.1327913279133,0.0,27.0,0.0,25.0,32.0,35.0,53.0,35.0,80.0,20.0,24.0,0.0,0.0,38.0,33.0,32.0,17.0,0.0,0.0,35.0,38.0,33.0,24.0,32.0,27.0,32.0,24.0,20.0,28.0,30.0,0.0,32.0,25.0,27.0,30.0,24.0,6.0,8.0,30.0,12.0,9.0,33.0,0.0,27.0,37.0,0.0,80.0,80.0,28.0,43.0,43.0,26.6420664206642,20.6402569593148,0.0,13.3805309734513,13.9016393442623,8.0,80.0,26.3598326359833,14.0,25.0,33.0,12.0,11.0,22.0,30.0,0.0,0.0,0.0,0.0,32.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,17.0,9.0,0.0,25.0,3.0,32.0,37.0,26.4563106796117,30.0,55.2626362735382,47.6972097829831,41.2643864483709,51.5533980582524,26.6396761133603,30.0,30.0,25.0,39.0929203539823,28.0,33.0,0.0,28.0,0.0,28.0,27.0,0.0,27.464347826087,60.0,0.0,29.1626957113683,31.0522213561964,29.1428571428571,27.3651551312649,0.0,34.9809004092769,33.9004149377593,32.0062208398134,31.6167664670659,37.4722222222222,37.4853150841175,18.7782426778243,0.0,0.0,0.0,0.0,37.0,0.0,33.4582278481013,0.0,41.0,0.0,26.2251655629139,36.8724279835391
